epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,207.507,0.3153,2.98588,0.8672,1,0.1082,0.47602,0.46044,0.27211,3.06592,0.75775,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028,0.00105084,0.00035028
57,211.246,0.40423,2.91251,0.84806,1,0.1082,0.47602,0.46044,0.27211,3.06592,0.75775,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666,0.001028,0.000342666
58,214.958,0.35317,3.01392,0.93307,0.97075,0.15556,0.49795,0.48303,0.27265,2.97944,0.74855,0.00100516,0.000335053,0.00100516,0.000335053,0.00100516,0.000335053,0.00100516,0.000335053
59,218.449,0.35691,2.90271,0.86969,0.97075,0.15556,0.49795,0.48303,0.27265,2.97944,0.74855,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744,0.000982321,0.00032744
60,221.99,0.37305,2.90014,0.86817,0.90122,0.15556,0.52896,0.51814,0.27521,2.89241,0.74424,0.000959481,0.000319827,0.000959481,0.000319827,0.000959481,0.000319827,0.000959481,0.000319827
61,225.622,0.38668,2.87401,0.89562,0.90122,0.15556,0.52896,0.51814,0.27521,2.89241,0.74424,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214,0.000936642,0.000312214
62,229.201,0.3207,2.80969,0.89464,0.8864,0.22222,0.55222,0.54172,0.28211,2.80489,0.74325,0.000913803,0.000304601,0.000913803,0.000304601,0.000913803,0.000304601,0.000913803,0.000304601
63,232.887,0.29291,2.84711,0.92535,0.8864,0.22222,0.55222,0.54172,0.28211,2.80489,0.74325,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988,0.000890963,0.000296988
64,236.585,0.40667,2.81202,0.94854,0.86274,0.22222,0.56767,0.55944,0.28339,2.71293,0.74004,0.000868124,0.000289375,0.000868124,0.000289375,0.000868124,0.000289375,0.000868124,0.000289375
65,240.049,0.29875,2.77495,0.89798,0.86274,0.22222,0.56767,0.55944,0.28339,2.71293,0.74004,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762
66,243.651,0.37056,2.81831,0.88627,0.75032,0.22572,0.58602,0.57539,0.28648,2.62646,0.73846,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148,0.000822445,0.000274148
67,247.302,0.3101,2.70939,0.90962,0.75032,0.22572,0.58602,0.57539,0.28648,2.62646,0.73846,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535
68,250.993,0.35481,2.83151,0.92746,0.66626,0.23726,0.59319,0.58303,0.28663,2.55309,0.73865,0.000776767,0.000258922,0.000776767,0.000258922,0.000776767,0.000258922,0.000776767,0.000258922
69,254.617,0.34377,2.63513,0.90123,0.66626,0.23726,0.59319,0.58303,0.28663,2.55309,0.73865,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309
70,258.337,0.33605,2.6515,0.8855,0.69602,0.2951,0.59626,0.5854,0.28975,2.46887,0.74025,0.000731088,0.000243696,0.000731088,0.000243696,0.000731088,0.000243696,0.000731088,0.000243696
71,261.697,0.29268,2.66217,0.87618,0.69602,0.2951,0.59626,0.5854,0.28975,2.46887,0.74025,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083
72,265.289,0.33245,2.72129,0.905,0.7174,0.36296,0.60883,0.59708,0.29002,2.38594,0.74088,0.00068541,0.00022847,0.00068541,0.00022847,0.00068541,0.00022847,0.00068541,0.00022847
73,268.91,0.3314,2.6062,0.88192,0.7174,0.36296,0.60883,0.59708,0.29002,2.38594,0.74088,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857
74,272.651,0.37396,2.65143,0.88965,0.71173,0.45659,0.63144,0.61928,0.28988,2.30405,0.74266,0.000639731,0.000213244,0.000639731,0.000213244,0.000639731,0.000213244,0.000639731,0.000213244
75,276.244,0.28848,2.5162,0.91206,0.71173,0.45659,0.63144,0.61928,0.28988,2.30405,0.74266,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631
76,279.787,0.35405,2.69049,0.94842,0.70801,0.46977,0.6393,0.63428,0.28471,2.23368,0.73972,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018,0.000594053,0.000198018
77,283.476,0.29023,2.54885,0.86699,0.70801,0.46977,0.6393,0.63428,0.28471,2.23368,0.73972,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404
78,287.133,0.30444,2.5213,0.94163,0.6802,0.4963,0.65622,0.65075,0.2847,2.17322,0.74032,0.000548374,0.000182791,0.000548374,0.000182791,0.000548374,0.000182791,0.000548374,0.000182791
79,290.752,0.34151,2.61765,0.93872,0.6802,0.4963,0.65622,0.65075,0.2847,2.17322,0.74032,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178
80,294.405,0.30618,2.52314,0.8791,0.67304,0.56003,0.65347,0.64767,0.2843,2.1373,0.74241,0.000502695,0.000167565,0.000502695,0.000167565,0.000502695,0.000167565,0.000502695,0.000167565
81,297.968,0.28172,2.44557,0.91586,0.67304,0.56003,0.65347,0.64767,0.2843,2.1373,0.74241,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952
82,301.485,0.26,2.48085,0.90751,0.68104,0.58115,0.66752,0.66103,0.28629,2.08123,0.74633,0.000457017,0.000152339,0.000457017,0.000152339,0.000457017,0.000152339,0.000457017,0.000152339
83,305.122,0.32477,2.47121,0.89454,0.68104,0.58115,0.66752,0.66103,0.28629,2.08123,0.74633,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726
84,308.946,0.34431,2.41647,0.91642,0.66719,0.59248,0.68516,0.67715,0.28929,2.0324,0.74828,0.000411338,0.000137113,0.000411338,0.000137113,0.000411338,0.000137113,0.000411338,0.000137113
85,312.603,0.34121,2.45272,0.96559,0.66719,0.59248,0.68516,0.67715,0.28929,2.0324,0.74828,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295
86,316.495,0.29369,2.33335,0.91814,0.656,0.6042,0.68711,0.67877,0.28637,1.99851,0.75026,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887,0.00036566,0.000121887
87,320.034,0.37806,2.45225,0.88695,0.656,0.6042,0.68711,0.67877,0.28637,1.99851,0.75026,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273
88,323.648,0.34969,2.38398,0.91879,0.64532,0.65197,0.69975,0.6912,0.28704,1.97556,0.75503,0.000319981,0.00010666,0.000319981,0.00010666,0.000319981,0.00010666,0.000319981,0.00010666
89,327.332,0.34958,2.43263,0.90555,0.64532,0.65197,0.69975,0.6912,0.28704,1.97556,0.75503,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05
90,331.085,0.39837,2.48719,0.91933,0.53773,0.67182,0.69723,0.68919,0.2821,1.95597,0.7554,0.000274302,9.14341e-05,0.000274302,9.14341e-05,0.000274302,9.14341e-05,0.000274302,9.14341e-05
91,334.861,0.36088,2.0399,0.89539,0.53773,0.67182,0.69723,0.68919,0.2821,1.95597,0.7554,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05
92,338.419,0.44589,2.08811,1.04332,0.53251,0.68544,0.69538,0.68607,0.28699,1.91605,0.76267,0.000228624,7.62079e-05,0.000228624,7.62079e-05,0.000228624,7.62079e-05,0.000228624,7.62079e-05
93,341.767,0.30885,1.96503,0.90619,0.53251,0.68544,0.69538,0.68607,0.28699,1.91605,0.76267,0.000205784,6.85948e-05,0.000205784,6.85948e-05,0.000205784,6.85948e-05,0.000205784,6.85948e-05
94,345.427,0.40691,2.22596,0.8624,0.52796,0.71023,0.69604,0.68748,0.2934,1.87875,0.76733,0.000182945,6.09817e-05,0.000182945,6.09817e-05,0.000182945,6.09817e-05,0.000182945,6.09817e-05
95,348.972,0.33402,2.16836,0.906,0.52796,0.71023,0.69604,0.68748,0.2934,1.87875,0.76733,0.000160106,5.33686e-05,0.000160106,5.33686e-05,0.000160106,5.33686e-05,0.000160106,5.33686e-05
96,352.769,0.34623,2.17004,0.86359,0.52542,0.72568,0.70008,0.68621,0.29949,1.84171,0.77298,0.000137267,4.57555e-05,0.000137267,4.57555e-05,0.000137267,4.57555e-05,0.000137267,4.57555e-05
97,356.348,0.34589,2.05255,0.87824,0.52542,0.72568,0.70008,0.68621,0.29949,1.84171,0.77298,0.000114427,3.81424e-05,0.000114427,3.81424e-05,0.000114427,3.81424e-05,0.000114427,3.81424e-05
98,359.969,0.42979,2.34773,0.97678,0.5173,0.73722,0.71032,0.69127,0.30463,1.81188,0.78008,9.15879e-05,3.05293e-05,9.15879e-05,3.05293e-05,9.15879e-05,3.05293e-05,9.15879e-05,3.05293e-05
99,363.627,0.72471,3.46889,1.19173,0.5173,0.73722,0.71032,0.69127,0.30463,1.81188,0.78008,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05
100,367.301,0.32552,2.1289,0.89011,0.50114,0.73333,0.70811,0.68663,0.31763,1.78853,0.7898,4.59093e-05,1.53031e-05,4.59093e-05,1.53031e-05,4.59093e-05,1.53031e-05,4.59093e-05,1.53031e-05
